SampleLogFunc,sub rough,Oxide thick,Sam tails thick,Sam tails hydration,Sam rough,cw thick,SAM head thick,SAM head hydration,Bilayer head thick,Bilayer rough,Bilayer tails thick,Bilayer tails hydr,Bilayer heads hydr,Oxide Hydration,Backs parameter 1,Backs parameter 2
-6.0081691,.28857031,.26011524,.31281000,.28632354E-01,.51445237,.54170080,.56647246,.73264310,.23738839,.41360022,.32402970,.17434288,.10670432,.47849115,.52900807,.54901400
-6.9391395,.59572282,.31631874,.21365356,.75302175E-01,.90316913E-01,.20942104,.87359030,.59136052,.39201757,.14332152,.60968171,.30286341,.75062993,.26622646,.40095042,.52739189
-10.555198,.72754483,.23161035,.39547148,.21460887,.33348817,.44266721,.24535901,.15880513,.40204868,.17667750,.54605100,.27642054,.58928208,.57642074,.58546493,.87196909
-9.0969565,.77272691,.27727506,.40510757,.29421772,.16845224,.41981328,.16501296,.37656108E-01,.57926573,.10197638,.43695767,.31699723,.79526953,.36529167,.32194940,.36727321
-6.8401318,.90024047,.31186984,.28897641,.18151058E-01,.40034047,.49083799,.21833083,.31181589,.55732585,.40663994E-01,.36620384,.25189254,.47878522,.45310714,.39578178,.70879069
-9.9103506,.71307183,.29724687,.24201914,.70930761E-02,.28536769,.30743570,.61822907,.60265223,.29893426,.30521309,.46992951,.17918303,.42515904,.20492228,.56484964,.73756749
-8.4334626,.14766664,.20253599,.47829084,.28338290,.10851095,.33190517,.40116309,.47606900,.54371109,.17442123,.33119112,.17891449,.49367897,.29649382,.40703519,.28766137
-14.655314,.30826832,.31255204,.27724529,.91317328E-01,.10676333,.26407314,.73180694,.77549124,.66646747,.48299769,.24974638,.22077486E-01,.80639137,.34632725,.79270923,.54509138
-9.3458507,.68919063,.29254953,.34850666,.75674537E-01,.25323295,.20445352,.60501991,.63938795,.44395085,.32249564,.65001740,.19766708,.91596845,.49246054,.46280777,.33893615
-8.8084157,.88181873,.32314678,.14026034,.30092516E-01,.25966228E-01,.27042410,.81745428,.51098802,.47268447,.67870890E-02,.29509498,.22257163,.45984325,.41673221,.17126335,.65078240
-5.6366969,.68699957,.23462919,.44418386,.26788000,.26311533,.36824498,.49225821,.90251750,.13222009,.16513999,.49780827,.26552283,.30614266,.33064872,.26648805,.80688114
-9.6040104,.46997951,.16780438,.44347653,.30615089,.24934531,.64102767,.19748524,.20050085,.53352716E-01,.48990928,.43354084,.33744410E-01,.66633732,.32920416,.26367962,.61288163
-10.982060,.48559197,.29034210,.42340649,.25490904,.27389508,.39906130,.24917786,.79103990,.78042006,.13896384,.15826520,.21490922,.68438050,.19761868,.43231484,.60850854
