ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,sub rough,Oxide thick,Sam tails thick,Sam tails hydration,Sam rough,cw thick,SAM head thick,SAM head hydration,Bilayer head thick,Bilayer rough,Bilayer tails thick,Bilayer tails hydr,Bilayer heads hydr,Oxide Hydration,Backs parameter 1,Backs parameter 2
1,0,.78841742,.0000000,15,1,-57.480574,.52134798,.38330294,.46802251,.40268771,.41981383,.49572846,.49549691,.47960442,.48548107,.51519816,.47482013,.44419051,.43670760,.50391413,.51768493,.58256310
1,0,.77466508,.0000000,17,2,-56.218385,.50435749,.38992980,.46967839,.39265524,.41705990,.50727198,.49170504,.47281410,.46534007,.50239231,.48368085,.45991505,.41926135,.49651170,.53403429,.57304168
1,0,.74922640,.0000000,17,2,-56.426832,.52159643,.39426267,.48342524,.39486085,.41588745,.49665623,.49654838,.46900930,.45923682,.50104039,.47035638,.45418196,.41987313,.50196641,.51990704,.58192131
1,0,.70985963,.0000000,17,3,-56.218362,.52519212,.38183209,.49814072,.39021082,.42041145,.49262226,.49859717,.46716807,.46328776,.49399613,.45640774,.45366068,.43750081,.51405818,.52377864,.55496307
1,0,.71953097,.0000000,17,1,-55.092785,.50182072,.36578861,.50268954,.39281386,.41578188,.48657423,.47873104,.45858108,.47166739,.51090453,.45162588,.44311297,.44400030,.51581712,.53287863,.54722565
1,0,.72857836,.0000000,17,1,-51.804100,.48509366,.35820231,.50801701,.38635522,.41889030,.50785908,.47977408,.45513644,.44980238,.51063606,.47129158,.43057603,.44282940,.50555141,.53755072,.54680397
1,0,.73706029,.0000000,22,1,-50.266178,.47301662,.34026435,.51912348,.38052605,.42419275,.50535286,.46720603,.45167922,.45575330,.49533710,.45431166,.43180604,.43698483,.51264649,.54421507,.53118710
1,0,.74294738,.0000000,22,1,-50.337315,.46703201,.35583431,.50823913,.38667684,.41802099,.51511688,.47404980,.45049325,.46044676,.49631240,.45345128,.42551624,.45083186,.51959661,.54695457,.52573896
1,0,.75050775,.0000000,22,1,-47.598370,.45018369,.34468395,.50769030,.36842994,.42610645,.50140486,.47971151,.44865265,.45560102,.49000162,.46504020,.42142318,.45826508,.53268204,.54861334,.54323831
1,0,.74020985,.0000000,23,1,-48.539771,.43929969,.36542545,.49723973,.37446299,.43966468,.51306510,.48536735,.45225776,.45942539,.47506522,.46027481,.41628909,.46420293,.55933098,.55995985,.54350996
